accommodation_id,Sector,Property Reg Number,Account Name,Rating,Address City/Town,Address County,Eircode/Postal code,Latitude,Longitude,Owner(s) as it appears on Register,Total Units
496,1,HHS04185,Hotel Curracloe,4.0,Curracloe,4.0,Y21 T2R2,52.39348,-6.39394,John Paul Hanrahan,29
497,1,HHS04186,Travelodge Limerick,4.0,Limerick,4.0,V94 R990,52.67336,-8.67587,Fearghal O'Sullivan,72
498,1,HHS04190,Cork Airport Hotel,4.0,Cork,4.0,T12 RPP9,51.84822,-8.48637,Aaron Mansworth,81
499,1,HHS32482,Percy French Hotel,4.0,Strokestown,4.0,F42 A996,53.77598,-8.10371,Steward Watters,18
500,1,HHS04200,East Village Hotel,4.0,Cork,4.0,T12 Y688,51.87777,-8.43426,Derry O Regan,10
501,1,HHS04202,Ashdown Park Hotel,4.0,Gorey,4.0,Y25 V1D6,52.67889,-6.2848,Thomas Redmond,79
502,1,HHS04205,Stella Maris Shore House,4.0,Ballycastle,4.0,F26 YX97,54.29956,-9.39242,Rolf Siegrist,10
503,1,HHS04212,The Martello Hotel,4.0,Bray,4.0,A98 P7X4,53.19997,-6.09655,John Duggan,25
504,1,HHS04213,Castle Durrow Country House Hotel,4.0,Durrow,4.0,R32 EA02,52.84617,-7.40257,Peter Stokes,48
505,1,HHS04228,Seven Horseshoes Hotel,4.0,Belturbet,4.0,H14 WN22,54.10094,-7.44425,Francis Cahill,10
506,1,HHS40298,Ballykealey House,4.0,Ballon,4.0,R93 A9K1,52.74671,-6.78012,Ian Farrell,12
507,1,HHS04232,Travelodge Galway Central,4.0,Galway city,4.0,H91 HX8Y,53.2829,-9.03613,David Hennessy,76
508,1,HHS04233,Lakeside Manor Hotel,4.0,Virginia,4.0,A82 YH30,53.81871,-7.05353,Farrell Brady,31
509,1,HHS04239,Caisleáin Óir Hotel,4.0,Letterkenny,4.0,F94 WY03,55.02084,-8.32534,James McDevitt,20
510,1,HHS04240,The Pilgrims Rest Hotel,4.0,Cappoquin,4.0,P51 A5X5,52.18322,-7.84853,Sinead Conneely,10
511,1,HHS04249,Renvyle Lodge,4.0,Renvyle,4.0,H91 T271,53.58848,-9.9636,Martin Rankin,12
512,1,HHS04250,Roganstown Hotel and Country Club,4.0,Swords,4.0,K67 P2E4,53.48738,-6.27149,Ian McGuinness,52
513,1,HHS04258,Fairhill House Hotel,4.0,Clonbur,4.0,F12 KF22,53.54442,-9.36448,lisa Carter,23
514,1,HHS04259,The Killarney Oaks,4.0,Killarney,4.0,V93 D593,52.03942,-9.49476,Eamon Courtney,70
515,1,HHS04263,Errigal Country House Hotel,4.0,Cootehill,4.0,H16 KX07,54.06511,-7.10266,Pat Kelly,29
516,1,HHS04264,Ashbourne House Hotel,4.0,Ashbourne,4.0,A84 XN15,53.51091,-6.39675,Zeeshan Abid,45
517,1,HHS04265,The Horse and Hound Inn Hotel,4.0,Newbawn,4.0,Y35 TW08,52.3694,-6.83709,Brendan Murphy,24
518,1,HHS04266,Dingle Bay Hotel,4.0,Dingle,4.0,V92 D9HH,52.13953,-10.27391,Sarah Brosnan,24
519,1,HHS04269,Tara Hotel,4.0,Killybegs,4.0,F94 V1WP,54.63685,-8.44095,Dymphna Kennedy,31
520,1,HHS04271,The Prince of Wales Hotel,4.0,Athlone,4.0,N37 T2P0,53.42394,-7.93844,John Callanan,46
521,1,HHS04272,Abbey Hotel,4.0,Ballyvourney,4.0,P12 FW30,51.93945,-9.15798,Michael Creedon,39
522,3,HOS010008,Malinbeg Hostel,4.0,Glencolumkille,4.0,F94 CX31,54.70797,-8.72942,Frank Craig,20
523,3,HOS010015,Courtbrack Accommodation,4.0,Limerick,4.0,V94 N6X6,52.65544,-8.64673,John Randles,99
524,3,HOS010018,Connemara National Park Lodge - Letterfrack Lodge,4.0,Letterfrack,4.0,H91 WN62,53.5543,-9.95083,Janet McDonnell,35
525,3,HOS09819,Lakeland House,4.0,Cong,4.0,F31 XD56,53.53899,-9.27246,Lisa Collins,56
526,7,WSL40412,Doolin Inn,3.0,Doolin,3.0,V95 CC79,53.01261,-9.38378,Anthony Moloney,29
527,3,HOS09827,Fossa Holiday Hostel,4.0,Killarney,4.0,V93 V208,52.07082,-9.58561,Derry Brosnan,42
528,3,HOS09833,Inishbofin Island Hostel,4.0,Inishbofin,4.0,H91 TW97,53.61579,-10.19813,Kieran Day,14
529,3,HOS09835,Carlingford Adventure Centre,4.0,Carlingford,4.0,A91 VW70,54.04006,-6.18624,Tom Mc Ardle,20
530,3,HOS09837,Sheila's Tourist Hostel,4.0,Cork,4.0,T23 XF95,51.90261,-8.46595,Liam Maher,176
531,3,HOS09847,Old Mill Holiday Hostel,4.0,Westport,4.0,F28 VX58,53.80041,-9.5241,Niamh Carr,52
532,3,HOS09868,Brú Radharc na Mara Hostel,4.0,Aran Islands,4.0,H91 W5CE,53.06693,-9.52487,Linda  Searraigh,38
533,3,HOS09872,Kinlay Hostel,4.0,Galway,4.0,H91 F2KT,53.27323,-9.04888,Frank O'Connell,228
534,3,HOS09873,Old Monastery Hostel,4.0,Letterfrack,4.0,H91 TK50,53.55197,-9.94611,Stephen Gannon,42
535,3,HOS09917,Billeragh House,4.0,Listowel,4.0,V31 P440,52.41971,-9.51001,Thomas McElligott,36
536,3,HOS09918,Katie O'Connors Hostel,4.0,Kilrush,4.0,V15 W825,52.63761,-9.48568,Martin Finucane,36
537,7,WSL37064,Teac Jack,3.0,Brinlack,3.0,F92 CD71,55.11716,-8.26341,Gearoid MacPhaidin,27
538,3,HOS09935,Sandrock Holiday Hostel,4.0,Malin Head,4.0,F93 FF61,55.36192,-7.35843,Rodney Lockwood,20
539,3,HOS09937,Killarney Railway Hostel,4.0,Killarney,4.0,V93 PX23,52.06052,-9.50319,Jerry McMahon,110
540,7,WSL36426,Clare's Rock,3.0,Carron,3.0,V95 P8W7,53.03457,-9.07684,Pat Cassidy,3
541,3,HOS09967,Lough Lannagh Lodge,4.0,Castlebar,4.0,F23 VW73,53.84915,-9.31181,Paul Lennon,70
542,7,WSL40652,O'Neills Victorian Pub and Townhouse,3.0,Dublin 2,3.0,D02 VX62,53.34491,-6.25243,Deirdre Mullins,8
543,7,WSL40245,Hungry Hill Lodge & Campsite,4.0,Beara,4.0,P75 CY62,51.69392,-9.72572,Jamie Botermans,36
544,3,HOS09985,Slane Farm Hostel,4.0,Slane,4.0,C15 X3XH,53.71568,-6.57327,Gemma Madden,30
545,3,HOS09996,Brú na Dromoda,4.0,Mastergeehy,4.0,V23 RK10,51.90818,-10.058,Maryanne Casey,26
546,3,HOS36495,Donegal Town Independent Hostel,4.0,Donegal,4.0,F94 HH94,54.6564,-8.12427,Linda Cunningham,28
547,3,HOS36474,Sive Hostel,4.0,Caherciveen,4.0,V23 HY91,51.94805,-10.22084,Niamh McLoughlin,30
548,3,HOS36480,Kilcommon Lodge,4.0,Ballina,4.0,F26 X437,54.26602,-9.80072,Betty Schult,21
549,3,HOS36538,Rainbow Hostel,4.0,Doolin,4.0,V95 T951,53.01976,-9.37062,Carmel Shannon,26
550,8,SCS08508,Ballyvaughan,4.0,Ballyvaugan,4.0,H91 KND3,53.11843,-9.1535,Gerry Quinn,5
551,8,SCS08510,Killarney Lakeland Cottages,4.0,Killarney,4.0,V93 H304,52.03096,-9.48165,John O'Shea,19
552,8,SCS08521,Quilty Holiday Cottages,4.0,Quilty,4.0,V95 HK73,52.8306,-9.44334,Patrick Mungovan,24
553,8,SCS08560,Brookman Town Homes Donnybrook Manor,4.0,Dublin 4,4.0,D04 EW70,53.32092,-6.23823,Naomi Kidney,22
554,8,SCS08593,Doonbeg Holiday Cottages,4.0,Doonbeg,4.0,V15 NW50,52.74591,-9.57385,Michael Haugh,7
555,8,SCS08615,Kinsale Holiday Village,4.0,Kinsale,4.0,P17 EX02,51.70971,-8.51654,Tim O'Mahony,9
556,8,SCS08650,Ardnagashel Estate,4.0,Ballylickey,4.0,P75 TK27,51.72692,-9.47242,Gerry Quinn,16
557,7,WSL40027,Clonmoylan Self Catering Accommodation,3.0,Portumna,3.0,H53 CH93,53.06697,-8.3153,Anne Hilty,6
558,8,SCS08674,Dingle Marina Cottages,4.0,Dingle,4.0,V92 EV52,52.14033,-10.2811,Breda  Mallon,14
559,8,SCS08675,Kenmare Coastal Holiday Cottages,4.0,Kenmare,4.0,V93 AH99,51.87546,-9.60266,Sheila Hannigan,7
560,7,WSL40483,Inch Beach Cottages,3.0,Inch,3.0,V92 F348,52.14455,-9.9832,mahmood Hussain,9
561,8,SCS08686,Lough Lannagh Cottages,4.0,Castlebar,4.0,F23 VW73,53.84914,-9.31181,Paul Lennon,11
562,8,SCS08689,Dingle Harbour Cottages,4.0,Dingle,4.0,V92 Y865,52.14049,-10.28026,Carl Hanratty,20
563,8,SCS08694,Robertstown Holiday Village,4.0,Robertstown,4.0,W91 N625,53.27199,-6.82206,Karen Gorey,8
564,8,SCS08705,Carraroe Holiday Village,4.0,Carraroe,4.0,H91 X792,53.26432,-9.60122,Mary Ann  Coyne,16
565,8,SCS08716,Wolseley Manor,4.0,Tullow,4.0,R93 N2T4,52.79103,-6.73027,Kate Harrison,16
566,8,SCS08723,Fairgreen Holiday Cottages,4.0,Dungloe,4.0,F94 H286,54.95319,-8.36593,Pauline Forde,15
567,8,SCS08748,Heyward Mews,4.0,Swords,4.0,K67 AD93,53.48607,-6.2718,Dora  Fekete,8
568,8,SCS08760,Pipers Chair Houses,4.0,Doolin,4.0,V95 DE2X,53.01653,-9.37522,Jim Shannon,9
569,8,SCS08773,Upton Court Holiday Cottages,4.0,Kilmuckridge,4.0,Y25 F9X7,52.51751,-6.28027,Sean Doyle,15
570,5,SCS09210,Rookery Mews Apartments,4.0,Killarney,4.0,V93 Y054,52.05667,-9.49399,Micheal O'Brien,16
571,5,SCS09218,Molesworth Court Suites,4.0,Dublin 2,4.0,D02 HY39,53.34052,-6.25714,Ross McInerney,12
572,5,SCS09220,Isaacs Apartments,4.0,Cork,4.0,T23 F6EK,51.90159,-8.46809,Clement Gleeson,11
573,5,SCS09239,Clifden Station House Suites,4.0,Clifden,4.0,H71 AK52,53.4888,-10.0177,James Sweeney,16
574,5,SCS09240,The Gleneagle River Apartments,4.0,Killarney,4.0,V93 V6WF,52.04439,-9.50203,Patrick O'Donoghue,31
575,9,YHS09707,Glendalough International Youth Hostel,4.0,Glendalough,4.0,A98 F576,53.011,-6.33024,Andrew Hyland,118
576,9,YHS09711,Tra Na Rosann,4.0,Downings,4.0,F92 VY86,55.22938,-7.8041,Erin  Gormley,28
577,9,YHS09721,Knockree Youth Hostel,4.0,Enniskerry,4.0,A98 R2Y9,53.17841,-6.21184,Andy Hyland,12
