Name,Rating,Latitude,Longitude,Address,Tags
Ireland's Oldest Bridge,4.7,53.5560825,-6.7910203,"Bridge St, Townparks North, Trim, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Donadea Castle,4.7,53.3410255,-6.7470873,"Donadea Demesne, Co. Kildare, Ireland","tourist_attraction, point_of_interest, establishment"
Trim Castle,4.7,53.5544153,-6.789816,"Manorland (1st Division), Trim, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Fore Abbey,4.7,53.683924,-7.227154,"Fore, Co. Westmeath, Ireland","tourist_attraction, point_of_interest, establishment"
Glendalough Cathedral,4.7,53.0105285,-6.3270585,"Sevenchurches Or Camaderry, Glendalough, Co. Wicklow, Ireland","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Kells Priory,4.7,52.53893739999999,-7.266671899999999,"Priory Grove, Kellsborough, Kells, Co. Kilkenny, R95 V184, Ireland","point_of_interest, establishment"
World Poverty Stone,4.5,53.3479863,-6.249372399999999,"North Wall, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Brú na Bóinne Visitor Centre Newgrange and Knowth,4.6,53.69446989999999,-6.4465335,"Brú na Bóinne, Stalleen, Donore, Co. Meath, A92 EH5C, Ireland","tourist_attraction, travel_agency, museum, point_of_interest, establishment"
Custom House Visitor Centre,4.6,53.3483945,-6.253133,"Custom House Quay, North Wall, Dublin 1, D01 W6X0, Ireland","museum, point_of_interest, establishment"
Hill of Tara,4.5,53.5788114,-6.611649,"Castleboy, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Donaghmore Round Tower,4.5,53.670453,-6.662465099999999,"Donaghmore, Co. Meath, Ireland","point_of_interest, establishment"
Parliament House,4.2,53.34471019999999,-6.2600514,"College Green, Temple Bar, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Rathfarnham Castle,4.4,53.29814270000001,-6.2835816,"Rathfarnham Rd, Rathfarnham, Dublin, D14 K3T6, Ireland","tourist_attraction, museum, point_of_interest, establishment"
Knowth,4.8,53.70119829999999,-6.491428099999999,"Knowth, Drogheda, Co. Meath, A92 EH5C, Ireland","tourist_attraction, point_of_interest, establishment"
Irish National War Memorial Gardens,4.8,53.3454498,-6.317255299999999,"Island Bridge, Ushers, Dublin, Ireland","tourist_attraction, park, point_of_interest, establishment"
Kilmainham Gaol,4.7,53.34187009999999,-6.309804799999999,"Inchicore Rd, Kilmainham, Dublin 8, D08 RK28, Ireland","museum, tourist_attraction, point_of_interest, establishment"
Maynooth Castle,4.4,53.38082780000001,-6.5943071,"Maynooth Castle, Main St, Maynooth, Co. Kildare, Ireland","tourist_attraction, point_of_interest, establishment"
Priory of St John the Baptist,4.5,53.55520929999999,-6.7682765,"Ireland, Old Lackanash Road, Ireland","point_of_interest, establishment"
Bective Abbey,4.7,53.582475,-6.702971499999999,"R161, Bective, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Rock of Cashel,4.6,52.5200763,-7.890452199999999,"St. Patricksrock, Cashel, Co. Tipperary, Ireland","tourist_attraction, point_of_interest, establishment"
"Leap Castle, Ireland",4.6,53.0279902,-7.808453399999999,"EIRCODE ? R421, Leap, Roscrea, Co. Offaly, Ireland","tourist_attraction, point_of_interest, establishment"
Loughcrew Cairns,4.8,53.744576,-7.112123,"Loughcrew Cairns, Corstown, Oldcastle, Co. Meath, Ireland","tourist_attraction, place_of_worship, travel_agency, point_of_interest, establishment"
Reginald's Tower,4.6,52.260499,-7.105403099999999,"The Quay, Waterford, Ireland","museum, tourist_attraction, point_of_interest, establishment"
Garden of Remembrance,4.6,53.3538817,-6.2641429,"Parnell Square E, Rotunda, Dublin 1, D01 A0F8, Ireland","tourist_attraction, park, point_of_interest, establishment"
Termonfeckin Castle,4.2,53.7602955,-6.2668358,"Strand Rd, Termonfeckin, Co. Louth, Ireland","point_of_interest, establishment"
Céide Fields,4.4,54.3070873,-9.457645699999999,"Glenurla, Co. Mayo, F26 PF66, Ireland","tourist_attraction, park, point_of_interest, establishment"
Carlingford Castle,4.3,54.0432392,-6.1868336,"King Johns Castle, Carlingford, Co. Louth, Ireland","tourist_attraction, point_of_interest, establishment"
Experience Glasnevin - Ireland's National Cemetery,4.8,53.37003,-6.2770874,"Finglas Rd, Glasnevin, Dublin, D11 H2TH, Ireland","tourist_attraction, travel_agency, point_of_interest, establishment"
Ashtown Castle,4.5,53.36577370000001,-6.3305907,"Phoenix Park, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Dromiskin Monastic Site,4.5,53.9220098,-6.398171400000001,"16-34 Church View, Dromiskin, Co. Louth, A91 DD89, Ireland","tourist_attraction, point_of_interest, establishment"
Jerpoint Abbey,4.6,52.5108434,-7.1575191,"Jockeyhall, Thomastown, Co. Kilkenny, R95 P523, Ireland","tourist_attraction, point_of_interest, establishment"
Dalkey Castle & Heritage Centre,4.6,53.27787989999999,-6.105544,"Castle St, Dalkey, Dublin, A96 DE61, Ireland","tourist_attraction, museum, travel_agency, point_of_interest, establishment"
Old Kilcullen Round Tower,4.7,53.107931,-6.761016,"Oldkilcullen, Old Kilcullen, Co. Kildare, Ireland","point_of_interest, establishment"
Castle Saunderson,4.5,54.1267696,-7.3595443,"Castlesaunderson Demesne, Co. Cavan, Ireland","point_of_interest, establishment"
National Museum of Ireland - Archaeology,4.6,53.3402225,-6.2549209,"35A Kildare St, Dublin 2, D02 YK38, Ireland","tourist_attraction, museum, point_of_interest, establishment"
Boyle Abbey,4.6,53.9739243,-8.2975804,"Knocknashee, Boyle, Co. Roscommon, F52 XE16, Ireland","point_of_interest, establishment"
Newgrange,4.6,53.69471189999999,-6.4754917,"Newgrange, Donore, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Lia Fáil (Stone of Destiny),4.7,53.57862979999999,-6.6121414,"Unnamed Road, Co. Meath, Ireland","point_of_interest, establishment"
Portumna Castle & Gardens,4.5,53.08660099999999,-8.220731700000002,"Portumna Demesne, Portumna, Co. Galway, Ireland","point_of_interest, establishment"
Sandycove Castle,4.7,53.287178,-6.114911999999999,"9 Sandycove Ave W, Bullock, Dublin, A96 A5N5, Ireland","tourist_attraction, point_of_interest, establishment"
Kildrought House,4.7,53.3403371,-6.537807399999999,"Main St, Celbridge, Co. Kildare, Ireland","tourist_attraction, museum, point_of_interest, establishment"
The Obelisk,4.7,53.2655717,-6.1118539,"3 Claremont Grove, Scalpwilliam Or Mount Mapas, Killiney, Co. Dublin, A96 R6A2, Ireland","tourist_attraction, point_of_interest, establishment"
Pearse Museum,4.6,53.2830468,-6.2818961,"Saint Enda's Park, Grange Rd, Rathfarnham, Dublin 16, D16 Y7Y5, Ireland","tourist_attraction, museum, point_of_interest, establishment"
Ennis Friary,4.5,52.84607829999999,-8.9813607,"Lower Abbey St, Clonroad Beg, Ennis, Co. Clare, Ireland","tourist_attraction, point_of_interest, establishment"
Four Knocks Tomb,4.6,53.5965655,-6.326491499999999,"Fourknocks, Stamullen, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Aughnanure Castle,4.5,53.418783,-9.2757515,"Aughnanure, Oughterard, Co. Galway, H91 PX20, Ireland","tourist_attraction, point_of_interest, establishment"
Cahir Castle,4.6,52.3745471,-7.9270751,"Castle St, Townparks, Cahir, Co. Tipperary, E21 P652, Ireland","tourist_attraction, point_of_interest, establishment"
Roscrea Heritage - Roscrea Castle and Damer House,4.4,52.954635,-7.7975646,"Townparks, Co. Tipperary, E53 F652, Ireland","museum, tourist_attraction, point_of_interest, establishment"
Glasmore Abbey,4,53.4645006,-6.2426165,"Mooretown, Swords, Co. Dublin, Ireland","point_of_interest, establishment"
Dún Ailinne,5,53.1151326,-6.775668,"Whitehall, Co. Kildare, Ireland","point_of_interest, establishment"
Dowth Passage Tomb,4.4,53.70383649999999,-6.4503688,"Dowth, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Kilconnell Franciscan Friary,4.6,53.332715,-8.401144799999999,"Ballinasloe, Co. Galway, Ireland","tourist_attraction, point_of_interest, establishment"
Athenry Castle,4.4,53.3000974,-8.744388599999999,"Court Ln, Athenry, Co. Galway, Ireland","point_of_interest, establishment"
Parke's Castle,4.6,54.2647072,-8.334336,"Parke's Castle, Kilmore, Fivemilebourne, Co. Leitrim, F91 FP71, Ireland","tourist_attraction, museum, point_of_interest, establishment"
Brú na Bóinne,4.7,53.694671,-6.475575,"Drogheda, Co. Meath, A92 EH5C, Ireland","tourist_attraction, park, point_of_interest, establishment"
